GroupCode,UserId,ProbeBudget,AkonaHabitat,AkonaYN,EolaniH,EolaniYN,Jakala-TayH,Jakala-TayYN,KaylidH,KaylidYN,SylcariH,SylcariYN,WroftH,WroftYN,YNScore,SubmitYN
michael_bedford201701,29Ziw8B4kgOnYGSc7pSF7VWYXbG2,129224000,CHARON,1,MERCURY,0,     ,0,     ,0,EUROPA,0,     ,0,2,1
ML201702,3xAIuJSVIkVQqELOd4QoOnAmCc43,146379000,PLUTO,0,MARS,0,VENUS,1,MERCURY,0,EUROPA,0,VENUS,1,2,1
megan_kritzer201704,5LpMozxrQDg76kltV4H6zoIoSRZ2,155865000,     ,0,     ,0,MERCURY,0,     ,0,     ,0,     ,0,2,1
Eric201706,5YcJoFn3ijY1V0p0mNYVXQMblKz2,98317000,TITAN,0,MARS,0,VENUS,1,MARS,1,     ,0,     ,0,2,1
JF201705,5udU8us28BOn2a0h5tBwRjl7gLk2,160000000,JUPITER,0,CALLISTO,1,TRITON,0,IO,0,     ,0,VENUS,1,2,1
ML201702,6LJPmauvvxPuC7EtnwjEHN85Yw02,157865000,EUROPA,0,IO,0,PLUTO,0,MARS,1,NEPTUNE,1,JUPITER,0,2,1
micheal2017,6iXy7vjAM2QnpG0ycS1ypfA7mup1,159460000,TITAN,0,MARS,0,VENUS,1,EARTH,0,NEPTUNE,1,SATURN,0,2,1
christine2017,6levsxVFpvUkwQP4DSgniKtKynD3,157428000,     ,0,MARS,0,IO,1,MARS,1,MERCURY,0,     ,0,2,1
ML201705,72vNVqxd5Ncx9FIaogqIH9Gihv13,151167000,     ,0,     ,0,     ,0,     ,0,URANUS,1,     ,0,2,1
elisa_klepper201701,7GvN1Z7srRY22JDjuZzaB7p5KE33,153184000,     ,0,     ,0,     ,0,VENUS,1,NEPTUNE,1,     ,0,2,1
micheal2017,9PkXl3yn1fMVvIb5n05j1XaytxY2,153424000,TITAN,0,PLUTO,0,EUROPA,0,EARTH,0,NEPTUNE,1,SATURN,0,2,1
ML201702,BcaAUvng9qMBm4sKD2HyBt30JF72,153092000,PLUTO,0,CALLISTO,1,VENUS,1,MERCURY,0,EUROPA,0,SATURN,0,2,1
micheal2017,E0BrlFMb5rWD82VtGVI3toEEi0x2,160000000,GANYMEDE,0,MARS,0,VENUS,1,EARTH,0,SATURN,0,TITAN,1,2,1
ML201701,HnT9Fu3HtTa0u717H3DpA7c0jrv1,157738000,EUROPA,0,TITAN,0,MARS,0,VENUS,1,NEPTUNE,1,MERCURY,0,2,1
megan_kritzer201702,JYC8lfu5HwY7ajkiqRK4NkXyVe32,154375000,     ,0,     ,0,     ,0,     ,0,     ,0,TITAN,1,2,1
ML201703,K1LH9OAwOFZBcUufjLguhn56pYE2,150189000,PLUTO,0,MOON,0,IO,1,CALLISTO,0,EUROPA,0,VENUS,1,2,1
micheal2017,PqHLJc9kAgRun06ZshPp2CHLI2p2,159160000,CALLISTO,1,     ,0,IO,1,DEIMOS,0,CALLISTO,0,NEPTUNE,0,2,1
micheal2017,RNeGjvRkdocK7gIUTPuVD8meLC43,151287000,NEPTUNE,0,SATURN,0,JUPITER,0,MERCURY,0,URANUS,1,TITAN,1,2,1
ML201701,RjGQNBcbtHYdRVmvDWiQxuhl8lD3,158450000,EUROPA,0,TITAN,0,MARS,0,VENUS,1,NEPTUNE,1,MERCURY,0,2,1
micheal2017,SY0mhVjI3tViOYjG3gzu6ZMpXx33,160000000,     ,0,     ,0,     ,0,EARTH,0,NEPTUNE,1,VENUS,1,2,1
micheal2017,SgZzF9yu8oePmic1kd5Z4VtBNdh2,149864000,GANYMEDE,0,MARS,0,VENUS,1,EARTH,0,NEPTUNE,1,SATURN,0,2,1
megan_kritzer201705,TFyAtaK7uGdFdP9aJzuFjBRmbuP2,156089000,     ,0,     ,0,     ,0,     ,0,     ,0,TITAN,1,2,1
megan_kritzer201701,TVTpmdanXBcPkPSYcsiqsdImv513,155431000,     ,0,     ,0,     ,0,     ,0,     ,0,TITAN,1,2,1
Eric201702,UCwnJfCNlqUfYW76U4ZPmsizta33,146030000,PLUTO,0,MARS,0,IO,1,MERCURY,0,EUROPA,0,VENUS,1,2,1
courtney_boyd201702,UdCtKv0YiIhpYhyBjyAgNAqq0f43,136305000,TRITON,0,MARS,0,VENUS,1,MERCURY,0,TITAN,0,VENUS,1,2,1
megan_kritzer201702,UkmSm7e2ZkeT1tZwE05wpzzU19a2,150608000,     ,0,     ,0,MERCURY,0,     ,0,     ,0,     ,0,2,1
christine2017,UlCBqdt2RUPcR7uJbH1MjsxBmWb2,149105000,CALLISTO,1,SATURN,0,     ,0,     ,0,     ,0,TITAN,1,2,1
AL201702,VMztZyxlzZUcBqxRqXvTyGvcmkC3,158238000,CALLISTO,1,CALLISTO,1,JUPITER,0,IO,0,VENUS,0,DEIMOS,0,2,1
courtney_boyd201704,VXqvz7sxVvXZTA54PLkFggIPFag2,157493000,TRITON,0,MOON,0,IO,1,MERCURY,0,EUROPA,0,VENUS,1,2,1
JF201701,WUJAisNmuher6MpO71aWLNVDWjn2,157594000,MARS,0,CHARON,0,NEPTUNE,0,URANUS,0,MARS,1,VENUS,1,2,1
karen_rainey201702,XIEEGMCY37QduOf4B9PJlLAgary1,135016000,TRITON,0,MARS,0,IO,1,MERCURY,0,EUROPA,0,IO,0,2,1
courtney_boyd201703,Xh8wPZfhm6eCWszYwwWAAWBteNm1,153021000,     ,0,     ,0,     ,0,     ,0,NEPTUNE,1,TITAN,1,2,1
ML201701,XoOGpk5yW3Yun28xdBe6lDJFdlI3,159500000,EUROPA,0,TITAN,0,MARS,0,VENUS,1,NEPTUNE,1,MERCURY,0,2,1
jennifer_squires201706,YWnGrvr2hAP1OXxW87IHJY05eaL2,154242000,     ,0,     ,0,IO,1,VENUS,1,     ,0,     ,0,2,1
christine2017,Zc4GMz2dbmMOObSld22rhVvGx853,158210000,PLUTO,0,     ,0,TITAN,0,MARS,1,     ,0,VENUS,1,2,1
tammy_wong201705,Zf7OolqY8OTqXd5y5FXuEtemdxu2,150549000,     ,0,     ,0,     ,0,MARS,1,NEPTUNE,1,     ,0,2,1
christine2017,cTLk58h9GdVB0wx85Nsdb25osqG3,159110000,PLUTO,0,EUROPA,0,MARS,0,MARS,1,EUROPA,0,VENUS,1,2,1
ML201705,e3AqFQvESRTE3CpSmO28H2odxUF2,157868000,EUROPA,0,TITAN,0,MARS,0,VENUS,1,NEPTUNE,1,MERCURY,0,2,1
micheal2017,epcBhfd9xLUbh7EWacHYkpQZNt52,154694000,TITAN,0,JUPITER,0,TRITON,0,VENUS,1,URANUS,1,IO,0,2,1
micheal2017,fA7Bv1fdPmWBoGrsFZ0xu1BWM4g1,153365000,EUROPA,0,MARS,0,IO,1,MERCURY,0,EARTH,0,VENUS,1,2,1
LB201704,h530TskwWBai5bIrO83RkdHLlfx2,144237000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,2,1
christine2017,hE30FGPFoAci9nV7UB54xtannv32,155883000,MERCURY,0,     ,0,     ,0,     ,0,EUROPA,0,VENUS,1,2,1
EM201701,hFyLoyMKNETiVkg3sLudfabbqyB2,150744000,NEPTUNE,0,MARS,0,VENUS,1,     ,0,EUROPA,0,TITAN,1,2,1
ML201703,hgoA1zUhEadc7NduTnm9tapeqO53,159380000,PLUTO,0,MARS,0,IO,1,MERCURY,0,EUROPA,0,VENUS,1,2,1
christine2017,huwc5tTyeTZI5ACnud86azQgLyo2,158665000,PLUTO,0,MARS,0,MARS,0,MARS,1,EUROPA,0,TITAN,1,2,1
megan_kritzer201701,jfocZ3pw2QYY7Q3jPDIla6Rfv2J2,158623000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,2,1
megan_kritzer201703,knff5Tj8XjXodUaXLtEkcdlQczr2,143899000,     ,0,     ,0,     ,0,     ,0,SUN,0,VENUS,1,2,1
JF201704,mPACTOMoitTQf6SxYLW7gZwPFv52,157186000,PLUTO,0,CALLISTO,1,TRITON,0,IO,0,     ,0,VENUS,1,2,1
EM201702,nlK9538Of0fKVjPrxdkop1jyzCn2,150283000,TITAN,0,CALLISTO,1,MARS,0,DEIMOS,0,IO,0,VENUS,1,2,1
megan_kritzer201705,qN8gdTOdLlS0Vc4yvvRYwlB7DIp2,156359000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,2,1
micheal2017,s6BVtj6BavgF4mt7Y7x8P1LBUwA3,156413000,TRITON,0,MERCURY,0,IO,1,SATURN,0,EUROPA,0,TITAN,1,2,1
megan_kritzer201705,ueI6lCOGdjhzTUDqHZ6nxhEKZxf2,151493000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,2,1
ML201701,vkFt71HW9GM3zMoVmSsD5yHslRI2,159500000,EUROPA,0,TITAN,0,MARS,0,VENUS,1,NEPTUNE,1,MERCURY,0,2,1
christine2017,xHQpKMtM5qWUrRQtwH5oY2udWYT2,149517000,PLUTO,0,MERCURY,0,IO,1,MARS,1,     ,0,MERCURY,0,2,1
micheal2017,xZViMiBz3gPM5wH0IzPvwZAG8743,155931000,TITAN,0,MARS,0,IO,1,EARTH,0,NEPTUNE,1,SATURN,0,2,1
michael_bedford201701,xgGjtSeYDQcbb5zzErCZmhUMuV42,160000000,     ,0,     ,0,VENUS,1,VENUS,1,EUROPA,0,     ,0,2,1
megan_kritzer201705,xq0rtgcsJNOOHUK4O1g47SDnjx02,158010000,     ,0,     ,0,MERCURY,0,     ,0,     ,0,     ,0,2,1
jennifer_squires201706,0JulzmqJ2MYf35AnqnF4JcvsMfg2,156352000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,1,1
EM201702,0VSX59HBTWXou8R5VKYLBGE0LU92,154218000,     ,0,     ,0,     ,0,     ,0,     ,0,VENUS,1,1,1
megan_kritzer201703,1nhcjB0pzPOK8iWRPO3buVoaZiH3,154985000,     ,0,GANYMEDE,1,     ,0,     ,0,     ,0,     ,0,1,1
CL201702,2ajMHxUDGRUIT1V9A4TXPttEsuy2,150219000,CHARON,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
teachera2017,2cEpZrWtIHWSkrR8YSU6iTbYqYu2,156676000,     ,0,     ,0,     ,0,     ,0,NEPTUNE,1,     ,0,1,1
megan_kritzer201701,2xvcNylU2MQPlOCIRgsxLFMet0J3,157210000,     ,0,     ,0,     ,0,     ,0,     ,0,VENUS,1,1,1
LB201705,3JlDg1VdJuMFPeQNNPOJsAf3fbk2,137913000,     ,0,DEIMOS,1,     ,0,     ,0,     ,0,     ,0,1,1
megan_kritzer201704,3R6nyllwRgOYVbY5VLVev9DFhks1,160000000,CHARON,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
CL201705,40BDnal2kNO76S9O26URcMHorDb2,141590000,     ,0,     ,0,     ,0,     ,0,PHOBOS,0,VENUS,1,1,1
EM201701,5kAOC1ZEwVQbflxkvpV8Ae6I6RA2,155571000,CALLISTO,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
megan_kritzer201701,5kfHRUXZt1S0qlOSoC44rIZzaNx1,156488000,     ,0,     ,0,     ,0,MARS,1,     ,0,     ,0,1,1
JF201705,5lB3CQoYZIOGI0UuySKjxo5VNcE2,150577000,CHARON,1,PLUTO,0,     ,0,     ,0,CALLISTO,0,MARS,0,1,1
megan_kritzer201704,6SkTagCPLCYsEggpIZv00OXFp3m2,155246000,     ,0,     ,0,     ,0,MOON,0,     ,0,     ,0,1,1
courtney_boyd201704,6fhPXxcLDqOBDkQ0yXIPm5GsPgy1,156958000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,1,1
micheal2017,7PmVhldWuvSgrppSUUhYK02kTTI3,148643000,TITAN,0,     ,0,IO,1,DEIMOS,0,     ,0,NEPTUNE,0,1,1
rebecca_crossley201701,8ZrIxp2wqzUB84atw7lHOhj40hF2,156489000,     ,0,     ,0,     ,0,     ,0,NEPTUNE,1,     ,0,1,1
courtney_boyd201702,8iQ13Bysz1daFl6YF5V4nx1N39y1,158625000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,1,1
karen_rainey201701,8nakTJivjbd3KHMePN8J1i93vni1,152242000,     ,0,     ,0,     ,0,MARS,1,     ,0,     ,0,1,1
micheal2017,9AKKMGkQk9cIWdCb0ZpWBAgDOAA2,160000000,     ,0,PHOBOS,0,     ,0,TRITON,0,     ,0,TITAN,1,1,1
karen_rainey201701,9HiOfhdgLJhi32NLRqBS4i1ToPa2,136032000,CHARON,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
EM201701,9PwH0YTNLoXLuVzFqBYoKhD519C2,150668000,     ,0,     ,0,     ,0,     ,0,     ,0,VENUS,1,1,1
ML201702,9cz4o9inklSAUxYggOO3djsBjnB3,153720000,PLUTO,0,MARS,0,EARTH,0,EUROPA,0,GANYMEDE,0,VENUS,1,1,1
teachera2017,9xOmSXV7qVgBCUAO6B61UO7FDcp2,160000000,     ,0,GANYMEDE,1,     ,0,     ,0,     ,0,     ,0,1,1
jennifer_squires201705,Aiev7Pbp1HecYHgtUcHaX29mNLa2,155159000,     ,0,     ,0,     ,0,     ,0,MARS,1,     ,0,1,1
megan_kritzer201702,BDVhXoFmQlPYY8UmEOQOPBB41mG3,150100000,     ,0,MARS,0,     ,0,     ,0,     ,0,     ,0,1,1
Eric201703,BYmxCSwr5iMByqtXWYm5qU7AHGI3,151938000,PLUTO,0,MARS,0,     ,0,     ,0,IO,0,     ,0,1,1
carolina_carner201705,BbMndVCU16NhegmPF2r4QStxKI02,149795000,     ,0,     ,0,     ,0,VENUS,1,     ,0,     ,0,1,1
EM201702,BnFk74KWrbem5FJSSsYnuTenDwC2,150017000,     ,0,     ,0,     ,0,VENUS,1,     ,0,     ,0,1,1
megan_kritzer201701,BnljEhpgbhWStoqq7erGgZjqTFR2,155691000,     ,0,GANYMEDE,1,     ,0,     ,0,     ,0,     ,0,1,1
megan_kritzer201702,C4fnKEDy77Xm8KH2qFwfj6MKGwJ2,146905000,TRITON,0,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
megan_kritzer201701,C7XD09b0dbUrHjEfdXkwHQOzKFb2,157474000,     ,0,     ,0,     ,0,MARS,1,GANYMEDE,0,     ,0,1,1
megan_kritzer201702,CXmGuo2B1lYFGEyLMk8lMJeryqw1,152919000,PLUTO,0,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
christine2017,D1gcthmKruRSbk0LRDMnckCWBn93,158098000,TITAN,0,VENUS,0,     ,0,MERCURY,0,MARS,1,     ,0,1,1
karen_rainey201701,DLASNTwmaFf0hEes2OSnHKhFBaT2,151538000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
JF201705,DbbTnSYzYXW9Bk09yMpEhidk63A2,157854000,CHARON,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
CM201701,DhghuLLCmtYH8ZKhSJXp6qN3q602,152131000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,1,1
rebecca_crossley201703,E88eMTwOBgX0jUySFwsyh7yn8Jj1,160000000,     ,0,     ,0,     ,0,     ,0,     ,0,TITAN,1,1,1
JF201703,EgzwN60KaNQjAqHg8seJXsMMYRD3,153537000,CHARON,1,     ,0,     ,0,     ,0,SUN,0,     ,0,1,1
jennifer_squires201702,EuMa5G01g8QKokJJa5u8pHaZ7Mi2,157633000,     ,0,     ,0,     ,0,     ,0,MARS,1,     ,0,1,1
micheal2017,FEBVgfmawedbOBNZE7NOl1fv47J3,157408000,PLUTO,0,MARS,0,     ,0,VENUS,1,CALLISTO,0,NEPTUNE,0,1,1
AL201703,FFd7OX3zN0ezsURTYKfiVv98MzQ2,153192000,     ,0,     ,0,VENUS,1,     ,0,EARTH,0,     ,0,1,1
megan_kritzer201703,Ffv4MAfZRcN8lYbi5IOQozXeY6y2,158238000,     ,0,CALLISTO,1,     ,0,     ,0,     ,0,     ,0,1,1
teachera2017,FjvHGJAqjNh63HwEgBGszatQmOv2,144905000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
LJ201701,Fsa7XfF7K4gvmzIU4ZbRSo9UndW2,160000000,MOON,0,GANYMEDE,1,SATURN,0,TRITON,0,PLUTO,0,CALLISTO,0,1,1
courtney_boyd201701,GCZVgFpAhbVEMaNmmiuz1zse7uQ2,149278000,     ,0,TRITON,1,     ,0,     ,0,     ,0,     ,0,1,1
jennifer_squires201704,GZb0hSZVn0cTpJ3RvHDkJwOqJPk2,158734000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,1,1
megan_kritzer201701,GoUFX3EgPyPqZqIrFeG3QR7oO7l1,157103000,     ,0,     ,0,     ,0,     ,0,     ,0,URANUS,0,1,1
AL201703,HIoz6H2TGiVmfuBEDC1KGfANJyC2,143097000,IO,0,EARTH,0,VENUS,1,     ,0,EUROPA,0,     ,0,1,1
JF201705,HL84QzQtQLQyHA1ZlcMm6UCuKbu2,143916000,CHARON,1,     ,0,     ,0,MERCURY,0,GANYMEDE,0,     ,0,1,1
carolina_carner201704,IFNhb4X9WwQljiXlpWJgB840t2E3,144637000,     ,0,CALLISTO,1,     ,0,     ,0,EUROPA,0,     ,0,1,1
megan_kritzer201704,IK7M8Xt8BwXB6jrKLYso2yjsULT2,155820000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
LJ201701,ILPrYMmcBshl1TSM4QHGsGg18yH3,157705000,MOON,0,VENUS,0,SUN,0,PLUTO,0,MARS,1,JUPITER,0,1,1
courtney_boyd201705,ImD9VGSJwuheqiWQVPmEZ6HFFYP2,150958000,     ,0,     ,0,     ,0,VENUS,1,     ,0,     ,0,1,1
LB201703,J2NEGnfuRoWXeY5YAgPKQayAgdO2,129862000,SATURN,0,DEIMOS,1,     ,0,     ,0,     ,0,     ,0,1,1
CM201705,JMlV1rKeSxffPr8cE4gizmN69Hj1,156019000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
EM201702,JYwxisW2iKZeO2z1mq6jWHoiJeX2,103100000,PLUTO,0,MARS,0,VENUS,1,MERCURY,0,EARTH,0,MERCURY,0,1,1
christine2017,JkIuovnEO2QB0E5lka9brBUuHxc2,144271000,     ,0,     ,0,     ,0,     ,0,     ,0,VENUS,1,1,1
megan_kritzer201701,JpVVyzudSKgjNiIjv8QOPTkDHfw2,157663000,     ,0,     ,0,     ,0,MARS,1,     ,0,     ,0,1,1
elisa_klepper201701,LUgBJuVKh4SDkIGvmZXLEwrhnXC3,149678000,PLUTO,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
megan_kritzer201705,Lotzcm0p4HRQS9J5cL1FlKAPgb42,152990000,CHARON,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
EM201702,MKD3f7xJeJYIDqDcXCjVNOvIQ4K3,141910000,PLUTO,0,EUROPA,0,MARS,0,MERCURY,0,EUROPA,0,VENUS,1,1,1
courtney_boyd201702,MwZvM3hHvWORSvRlCRhMgDkBn4t2,149203000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
AL201702,NKpdjM9jKXcNXSFqIwby4sPlmwf1,159130000,     ,0,     ,0,     ,0,     ,0,     ,0,VENUS,1,1,1
megan_kritzer201701,OCQClhObxHSgRThi9SmoxZL2j693,157107000,PLUTO,0,     ,0,     ,0,MARS,1,     ,0,     ,0,1,1
christine2017,OU5dXPlinCWa9birBHsmYZbNdjZ2,156695000,NEPTUNE,0,     ,0,IO,1,     ,0,VENUS,0,     ,0,1,1
megan_kritzer201701,OXmQcshEvISN7oQB3YSHnjlO6ZR2,156044000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,1,1
christine2017,Odzs7w9o17ZK5Xjm1HJPJn6AnyX2,152155000,     ,0,     ,0,     ,0,     ,0,     ,0,VENUS,1,1,1
tammy_wong201703,Owwrn6oHnfdqktyDwSRFHqyPhR63,146701000,CALLISTO,1,MARS,0,     ,0,     ,0,     ,0,     ,0,1,1
michael_bedford201702,P2LB7FDRrpT8lMMDwHkBtK3ltKM2,145982000,     ,0,     ,0,JUPITER,0,VENUS,1,     ,0,     ,0,1,1
courtney_boyd201703,PPZquqUrQnT90PBFsRn5jnW2iqo2,154921000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
jennifer_squires201704,PgjXwdtrm4YNNLMk9l4Xc7iQ0wr1,156109000,CHARON,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
jennifer_squires201704,QkyvxMh4nTQN6elnVkiahY63P5Y2,158734000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,1,1
megan_kritzer201701,RA2ea9amMBXFTxuHCWfcFbVqalx1,158376000,     ,0,     ,0,     ,0,     ,0,     ,0,URANUS,0,1,1
teachera2017,RVsjDopHUmS8lBUJBXk0xVqZtON2,159519000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
megan_kritzer201705,Rl0NxkPFqCd0DdQGdt7uPLrvFBM2,153972000,CHARON,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
rebecca_crossley201703,SU3cT8fahYaVy3Z6rTFImDG3YLV2,160000000,PLUTO,0,MARS,0,     ,0,VENUS,1,     ,0,     ,0,1,1
jennifer_squires201705,SaE4tg0SnveAlAxQcWUZ1FGoiig1,158764000,CHARON,1,     ,0,     ,0,     ,0,     ,0,     ,0,1,1
megan_kritzer201702,SlMzRYbN3gfgfVEluCiiY6ceCLs2,155011000,     ,0,     ,0,IO,1,     ,0,     ,0,     ,0,1,1
micheal2017,SsXpx9MuqHRUXnPZfqjR4md4hON2,157625000,PLUTO,0,MARS,0,VENUS,1,DEIMOS,0,CALLISTO,0,NEPTUNE,0,1,1
courtney_boyd201704,T6xKJaE1gRXyVqkm7AGPfo2nj6z2,153859000,     ,0,     ,0,     ,0,     ,0,     ,0,VENUS,1,1,1
karen_rainey201702,TDC8MctjE7TgiA1QEj0z3yCPnV73,141082000,     ,0,     ,0,VENUS,1,     ,0,     ,0,     ,0,1,1
EM201704,TQOPyk0bgTY0K0k7RazFawFubG82,150555000,     ,0,     ,0,     ,0,VENUS,1,     ,0,     ,0,1,1
courtney_boyd201703,U3Uh6qFdh5asnWq7kbBQ2fuLTG43,153957000,     ,0,     ,0,     ,0,MARS,1,     ,0,     ,0,1,1
ML201703,UiZtHERVmMZI2obQzchNQTuUygV2,153909000,PLUTO,0,MARS,0,JUPITER,0,VENUS,1,MERCURY,0,MOON,0,1,1
megan_kritzer201705,UvimGQ38lhfC5uCiGRqDYTSt9Ox1,155364000,     ,0,     ,0,NEPTUNE,0,     ,0,     ,0,     ,0,1,1
tammy_wong201704,VIA6P4NKlmOoLiS8atmvp3E1T3w2,158359000,     ,0,     ,0,     ,0,     ,0,NEPTUNE,1,     ,0,1,1
rebecca_crossley201701,VPh8OBGtVTQTvLLJXkDpmgRhRWo1,158253000,IO,0,MARS,0,PLUTO,0,     ,0,     ,0,TITAN,1,1,1
michael_bedford201701,ViQCqvdC6aRAZ3BN8rG6TlLAvvJ3,159030000,     ,0,     ,0,     ,0,PHOBOS,0,URANUS,1,     ,0,1,1
micheal2017,WXvKfAtEtoW3dMRYDgB8JWq67q92,151950000,PLUTO,0,MARS,0,PLUTO,0,MERCURY,0,EUROPA,0,VENUS,1,1,1
courtney_boyd201702,Wdph7xFGZPdd1lED6VhDKbSUN7I2,156832000,     ,0,GANYMEDE,1,     ,0,     ,0,     ,0,     ,0,1,1
rebecca_crossley201705,Wpw91Ifu7JSGQmUosaoMDqe9OoF2,158040000,     ,0,MOON,0,     ,0,MARS,1,     ,0,     ,0,1,1
michael_bedford201701,XCRNPUshYjYJHLuP32wikt8w8i43,147194000,TRITON,0,IO,0,MARS,0,MERCURY,0,TITAN,0,VENUS,1,1,1
ML201702,XZ6j4tvHmSfIqnSBUnKRQvSI90i1,153099000,PLUTO,0,MARS,0,VENUS,1,MERCURY,0,EUROPA,0,IO,0,1,1
michael_bedford201701,XmLtqWuf1AQS00rMiWRfikB3jUN2,153458000,SUN,0,TRITON,1,TRITON,0,PHOBOS,0,EUROPA,0,     ,0,1,1
jennifer_squires201704,XraQZfyqFpWtFKSo9cgBiVCYKzm1,157910000,     ,0,     ,0,     ,0,     ,0,     ,0,VENUS,1,1,1
